datetime,state,anomaly
2024-07-05 16:00:00,1.0,1
2024-07-15 20:00:00,6.0,1
2024-07-17 12:00:00,6.0,1
2024-07-19 12:00:00,4.0,1
2024-07-23 12:00:00,1.0,1
2024-07-24 12:00:00,1.0,1
2024-07-25 12:00:00,1.0,1
2024-07-25 16:00:00,1.0,1
2024-07-26 12:00:00,1.0,1
2024-07-27 00:00:00,1.0,1
2024-07-30 04:00:00,1.0,1
2024-08-12 16:00:00,6.0,1
2024-08-12 20:00:00,1.0,1
2024-08-13 12:00:00,1.0,1
2024-08-14 12:00:00,1.0,1
2024-08-15 12:00:00,1.0,1
2024-08-16 16:00:00,6.0,1
2024-08-19 12:00:00,1.0,1
2024-08-20 12:00:00,1.0,1
2024-08-21 12:00:00,1.0,1
2024-08-21 16:00:00,1.0,1
2024-08-22 12:00:00,1.0,1
2024-08-23 12:00:00,1.0,1
2024-08-24 16:00:00,1.0,1
2024-08-25 16:00:00,1.0,1
2024-08-26 20:00:00,6.0,1
2024-08-27 04:00:00,1.0,1
2024-08-28 12:00:00,1.0,1
2024-08-28 16:00:00,1.0,1
2024-08-29 12:00:00,1.0,1
2024-08-30 20:00:00,6.0,1
2024-09-03 12:00:00,4.0,1
2024-09-04 12:00:00,1.0,1
2024-09-05 12:00:00,1.0,1
2024-09-06 00:00:00,1.0,1
2024-09-06 12:00:00,1.0,1
2024-09-10 12:00:00,1.0,1
2024-09-11 12:00:00,1.0,1
2024-09-12 12:00:00,4.0,1
2024-09-17 12:00:00,4.0,1
2024-09-17 20:00:00,6.0,1
2024-09-18 12:00:00,4.0,1
2024-09-19 12:00:00,4.0,1
2024-09-20 12:00:00,4.0,1
2024-09-24 12:00:00,4.0,1
2024-09-25 12:00:00,4.0,1
2024-09-26 12:00:00,4.0,1
2024-09-27 12:00:00,4.0,1
2024-09-30 12:00:00,4.0,1
