datetime,state,anomaly,scaled_states
2024-07-30 00:00:00,0.0,1,-0.46265630989511897
2024-07-30 06:00:00,1.0,1,-0.45315639236128324
2024-07-30 12:00:00,7.0,1,-0.3961568871582689
2024-07-30 18:00:00,0.0,1,-0.46265630989511897
2024-07-31 00:00:00,0.0,1,-0.46265630989511897
2024-07-31 06:00:00,0.0,1,-0.46265630989511897
2024-07-31 12:00:00,0.0,1,-0.46265630989511897
2024-07-31 18:00:00,0.0,1,-0.46265630989511897
2024-08-01 00:00:00,0.0,1,-0.46265630989511897
2024-08-01 06:00:00,0.0,1,-0.46265630989511897
2024-08-01 12:00:00,0.0,1,-0.46265630989511897
2024-08-01 18:00:00,0.0,1,-0.46265630989511897
2024-08-02 00:00:00,0.0,1,-0.46265630989511897
2024-08-02 06:00:00,0.0,1,-0.46265630989511897
2024-08-02 12:00:00,0.0,1,-0.46265630989511897
2024-08-02 18:00:00,0.0,1,-0.46265630989511897
2024-08-03 00:00:00,0.0,1,-0.46265630989511897
2024-08-03 06:00:00,0.0,1,-0.46265630989511897
2024-08-03 12:00:00,0.0,1,-0.46265630989511897
2024-08-03 18:00:00,0.0,1,-0.46265630989511897
2024-08-04 00:00:00,0.0,1,-0.46265630989511897
2024-08-04 06:00:00,0.0,1,-0.46265630989511897
2024-08-04 12:00:00,0.0,1,-0.46265630989511897
2024-08-04 18:00:00,0.0,1,-0.46265630989511897
2024-08-05 00:00:00,0.0,1,-0.46265630989511897
2024-08-05 06:00:00,0.0,1,-0.46265630989511897
2024-08-05 12:00:00,0.0,1,-0.46265630989511897
2024-08-05 18:00:00,0.0,1,-0.46265630989511897
2024-08-06 00:00:00,0.0,1,-0.46265630989511897
2024-08-06 06:00:00,0.0,1,-0.46265630989511897
2024-08-06 12:00:00,0.0,1,-0.46265630989511897
2024-08-06 18:00:00,0.0,1,-0.46265630989511897
2024-08-07 00:00:00,0.0,1,-0.46265630989511897
2024-08-07 06:00:00,0.0,1,-0.46265630989511897
2024-08-07 12:00:00,0.0,1,-0.46265630989511897
2024-08-07 18:00:00,0.0,1,-0.46265630989511897
2024-08-08 00:00:00,0.0,1,-0.46265630989511897
2024-08-08 06:00:00,0.0,1,-0.46265630989511897
2024-08-08 12:00:00,0.0,1,-0.46265630989511897
2024-08-08 18:00:00,0.0,1,-0.46265630989511897
2024-08-09 00:00:00,0.0,1,-0.46265630989511897
2024-08-09 06:00:00,0.0,1,-0.46265630989511897
2024-08-09 12:00:00,0.0,1,-0.46265630989511897
2024-08-09 18:00:00,0.0,1,-0.46265630989511897
2024-08-10 00:00:00,0.0,1,-0.46265630989511897
2024-08-10 06:00:00,0.0,1,-0.46265630989511897
2024-08-10 12:00:00,0.0,1,-0.46265630989511897
2024-08-10 18:00:00,0.0,1,-0.46265630989511897
2024-08-11 00:00:00,0.0,1,-0.46265630989511897
2024-08-11 06:00:00,0.0,1,-0.46265630989511897
2024-08-11 12:00:00,0.0,1,-0.46265630989511897
2024-08-11 18:00:00,0.0,1,-0.46265630989511897
2024-08-12 00:00:00,0.0,1,-0.46265630989511897
2024-08-12 06:00:00,0.0,1,-0.46265630989511897
2024-08-12 12:00:00,2.0,1,-0.4436564748274475
2024-08-13 00:00:00,0.0,1,-0.46265630989511897
2024-08-13 06:00:00,0.0,1,-0.46265630989511897
2024-08-13 12:00:00,6.0,1,-0.40565680469210463
2024-08-13 18:00:00,0.0,1,-0.46265630989511897
2024-08-14 00:00:00,0.0,1,-0.46265630989511897
2024-08-14 06:00:00,0.0,1,-0.46265630989511897
2024-08-14 12:00:00,4.0,1,-0.4246566397597761
2024-08-14 18:00:00,0.0,1,-0.46265630989511897
2024-08-15 00:00:00,0.0,1,-0.46265630989511897
2024-08-15 06:00:00,0.0,1,-0.46265630989511897
2024-08-15 12:00:00,21.0,1,-0.26315804168456886
2024-08-15 18:00:00,161.0,1,1.0668304130524318
2024-08-16 00:00:00,0.0,1,-0.46265630989511897
2024-08-16 06:00:00,0.0,1,-0.46265630989511897
2024-08-16 18:00:00,214.0,1,1.5703260423457248
2024-08-17 00:00:00,0.0,1,-0.46265630989511897
2024-08-17 06:00:00,0.0,1,-0.46265630989511897
2024-08-17 12:00:00,0.0,1,-0.46265630989511897
2024-08-17 18:00:00,0.0,1,-0.46265630989511897
2024-08-18 00:00:00,0.0,1,-0.46265630989511897
2024-08-18 06:00:00,0.0,1,-0.46265630989511897
2024-08-18 12:00:00,0.0,1,-0.46265630989511897
2024-08-18 18:00:00,0.0,1,-0.46265630989511897
2024-08-19 00:00:00,0.0,1,-0.46265630989511897
2024-08-19 06:00:00,0.0,1,-0.46265630989511897
2024-08-19 12:00:00,6.0,1,-0.40565680469210463
2024-08-19 18:00:00,144.0,1,0.9053318149772246
2024-08-20 00:00:00,0.0,1,-0.46265630989511897
2024-08-20 06:00:00,0.0,1,-0.46265630989511897
2024-08-20 12:00:00,5.0,1,-0.41515672222594036
2024-08-20 18:00:00,0.0,1,-0.46265630989511897
2024-08-21 00:00:00,0.0,1,-0.46265630989511897
2024-08-21 06:00:00,0.0,1,-0.46265630989511897
2024-08-21 12:00:00,4.0,1,-0.4246566397597761
2024-08-21 18:00:00,6.0,1,-0.40565680469210463
2024-08-22 00:00:00,0.0,1,-0.46265630989511897
2024-08-22 06:00:00,0.0,1,-0.46265630989511897
2024-08-22 12:00:00,4.0,1,-0.4246566397597761
2024-08-22 18:00:00,87.0,1,0.36383651554858865
2024-08-23 00:00:00,0.0,1,-0.46265630989511897
2024-08-23 06:00:00,0.0,1,-0.46265630989511897
2024-08-23 12:00:00,22.0,1,-0.25365812415073313
2024-08-23 18:00:00,119.0,1,0.6678338766313315
2024-08-24 00:00:00,0.0,1,-0.46265630989511897
2024-08-24 06:00:00,0.0,1,-0.46265630989511897
2024-08-24 12:00:00,0.0,1,-0.46265630989511897
2024-08-24 18:00:00,1.0,1,-0.45315639236128324
2024-08-25 00:00:00,0.0,1,-0.46265630989511897
2024-08-25 06:00:00,0.0,1,-0.46265630989511897
2024-08-25 12:00:00,1.0,1,-0.45315639236128324
2024-08-25 18:00:00,0.0,1,-0.46265630989511897
2024-08-26 00:00:00,0.0,1,-0.46265630989511897
2024-08-26 06:00:00,0.0,1,-0.46265630989511897
2024-08-26 12:00:00,8.0,1,-0.3866569696244332
2024-08-26 18:00:00,115.0,1,0.6298342064959888
2024-08-27 00:00:00,0.0,1,-0.46265630989511897
2024-08-27 06:00:00,1.0,1,-0.45315639236128324
2024-08-27 12:00:00,0.0,1,-0.46265630989511897
2024-08-27 18:00:00,0.0,1,-0.46265630989511897
2024-08-28 00:00:00,0.0,1,-0.46265630989511897
2024-08-28 06:00:00,0.0,1,-0.46265630989511897
2024-08-28 12:00:00,9.0,1,-0.37715705209059747
2024-08-28 18:00:00,17.0,1,-0.3011577118199117
2024-08-29 00:00:00,0.0,1,-0.46265630989511897
2024-08-29 06:00:00,0.0,1,-0.46265630989511897
2024-08-29 12:00:00,4.0,1,-0.4246566397597761
2024-08-29 18:00:00,0.0,1,-0.46265630989511897
2024-08-30 00:00:00,0.0,1,-0.46265630989511897
2024-08-30 06:00:00,0.0,1,-0.46265630989511897
2024-08-30 12:00:00,62.0,1,0.12633857720269565
2024-08-31 00:00:00,0.0,1,-0.46265630989511897
2024-08-31 06:00:00,0.0,1,-0.46265630989511897
2024-08-31 12:00:00,0.0,1,-0.46265630989511897
2024-08-31 18:00:00,0.0,1,-0.46265630989511897
2024-09-01 00:00:00,0.0,1,-0.46265630989511897
2024-09-01 06:00:00,0.0,1,-0.46265630989511897
2024-09-01 12:00:00,0.0,1,-0.46265630989511897
